Username,Image_Path,Description,Likes,Liked_By,Comments
abi,WhatsApp Image 2025-02-14 at 14.19.28.jpeg,briyani,4,asita|aksaya|abi|kiruba,aksaya: why did u eat without me abiii???😒😒😒|abi: looks awesome|abi: looks awesome|abi: looks awesome|abi: looks awesome|abi: looks awesome|kiruba: wowww
asita,friedrice.jpeg,Delicious Fried Rice,4,asita|aksaya|abi|kiruba,asita: looks delicious|asita: can u share the recipe please|abi: looks awesome
